time,open,high,low,close,tick_volume,pattern_id,retest_time
2026-05-29 18:30:00,13825.618,13825.618,13824.814,13824.814,60,0,2026-05-29 19:00:00
2026-05-29 18:31:00,13824.797,13824.797,13823.944,13823.944,58,0,2026-05-29 19:00:00
2026-05-29 18:32:00,13823.924,13823.924,13823.125,13823.125,59,0,2026-05-29 19:00:00
2026-05-29 18:33:00,13823.125,13823.125,13822.384,13822.384,56,0,2026-05-29 19:00:00
2026-05-29 18:34:00,13822.365,13822.365,13821.463,13821.463,59,0,2026-05-29 19:00:00
2026-05-29 18:35:00,13821.46,13821.46,13820.511,13820.511,59,0,2026-05-29 19:00:00
2026-05-29 18:36:00,13820.506,13820.506,13819.651,13819.651,59,0,2026-05-29 19:00:00
2026-05-29 18:37:00,13819.647,13819.647,13818.733,13818.733,59,0,2026-05-29 19:00:00
2026-05-29 18:38:00,13818.724,13818.724,13817.894,13817.894,60,0,2026-05-29 19:00:00
2026-05-29 18:39:00,13817.885,13817.885,13817.019,13817.019,59,0,2026-05-29 19:00:00
2026-05-29 18:40:00,13817.012,13817.012,13816.264,13816.264,59,0,2026-05-29 19:00:00
2026-05-29 18:41:00,13816.256,13816.256,13815.454,13815.454,57,0,2026-05-29 19:00:00
2026-05-29 18:42:00,13815.444,13815.444,13814.708,13814.708,59,0,2026-05-29 19:00:00
2026-05-29 18:43:00,13814.706,13814.706,13813.898,13813.898,58,0,2026-05-29 19:00:00
2026-05-29 18:44:00,13813.889,13813.889,13812.918,13812.918,59,0,2026-05-29 19:00:00
2026-05-29 18:45:00,13812.896,13812.896,13812.078,13812.078,58,0,2026-05-29 19:00:00
2026-05-29 18:46:00,13812.076,13812.076,13811.361,13811.361,60,0,2026-05-29 19:00:00
2026-05-29 18:47:00,13811.353,13811.353,13810.635,13810.635,58,0,2026-05-29 19:00:00
2026-05-29 18:48:00,13810.617,13810.617,13809.966,13809.966,58,0,2026-05-29 19:00:00
2026-05-29 18:49:00,13809.941,13809.941,13809.183,13809.183,60,0,2026-05-29 19:00:00
2026-05-29 18:50:00,13809.167,13809.167,13808.442,13808.442,57,0,2026-05-29 19:00:00
2026-05-29 18:51:00,13808.421,13808.421,13807.694,13807.694,57,0,2026-05-29 19:00:00
2026-05-29 18:52:00,13807.684,13807.684,13806.618,13806.618,59,0,2026-05-29 19:00:00
2026-05-29 18:53:00,13806.601,13806.601,13805.906,13805.906,59,0,2026-05-29 19:00:00
2026-05-29 18:54:00,13805.9,13805.9,13805.096,13805.096,59,0,2026-05-29 19:00:00
2026-05-29 18:55:00,13805.087,13805.087,13804.275,13804.275,58,0,2026-05-29 19:00:00
2026-05-29 18:56:00,13804.255,13804.255,13803.509,13803.509,58,0,2026-05-29 19:00:00
2026-05-29 18:57:00,13803.486,13803.486,13802.632,13802.632,60,0,2026-05-29 19:00:00
2026-05-29 18:58:00,13802.615,13819.172,13801.929,13819.005,57,0,2026-05-29 19:00:00
2026-05-29 18:59:00,13819.001,13819.001,13818.226,13818.226,59,0,2026-05-29 19:00:00
2026-05-29 19:00:00,13818.21,13818.21,13817.487,13817.487,56,0,2026-05-29 19:00:00
2026-05-29 19:01:00,13817.484,13817.484,13816.676,13816.676,57,0,2026-05-29 19:00:00
2026-05-29 19:02:00,13816.668,13816.668,13815.787,13815.787,59,0,2026-05-29 19:00:00
2026-05-29 19:03:00,13815.764,13815.764,13814.791,13814.791,60,0,2026-05-29 19:00:00
2026-05-29 19:04:00,13814.778,13814.778,13814.094,13814.094,59,0,2026-05-29 19:00:00
2026-05-29 19:05:00,13814.085,13814.085,13813.247,13813.247,59,0,2026-05-29 19:00:00
2026-05-29 19:06:00,13813.217,13813.217,13812.349,13812.349,58,0,2026-05-29 19:00:00
2026-05-29 19:07:00,13812.316,13812.316,13811.505,13811.505,58,0,2026-05-29 19:00:00
2026-05-29 19:08:00,13811.493,13811.493,13810.695,13810.695,56,0,2026-05-29 19:00:00
2026-05-29 19:09:00,13810.676,13810.676,13809.853,13809.853,59,0,2026-05-29 19:00:00
2026-05-29 19:10:00,13809.826,13809.826,13808.922,13808.922,60,0,2026-05-29 19:00:00
2026-05-29 19:11:00,13808.897,13808.897,13808.016,13808.016,59,0,2026-05-29 19:00:00
2026-05-29 19:12:00,13807.981,13807.981,13807.224,13807.224,59,0,2026-05-29 19:00:00
2026-05-29 19:13:00,13807.202,13807.202,13806.418,13806.418,56,0,2026-05-29 19:00:00
2026-05-29 19:14:00,13806.4,13806.4,13805.589,13805.589,60,0,2026-05-29 19:00:00
2026-05-29 19:15:00,13805.572,13805.572,13804.547,13804.547,58,0,2026-05-29 19:00:00
2026-05-29 19:16:00,13804.545,13804.545,13803.699,13803.699,60,0,2026-05-29 19:00:00
2026-05-29 19:17:00,13803.686,13822.66,13803.444,13822.098,59,0,2026-05-29 19:00:00
2026-05-29 19:18:00,13822.087,13822.087,13821.385,13821.385,59,0,2026-05-29 19:00:00
2026-05-29 19:19:00,13821.381,13821.381,13820.563,13820.563,59,0,2026-05-29 19:00:00
2026-05-29 19:20:00,13820.519,13820.519,13819.662,13819.662,60,0,2026-05-29 19:00:00
2026-05-29 19:21:00,13819.629,13819.629,13818.818,13818.818,60,0,2026-05-29 19:00:00
2026-05-29 19:22:00,13818.811,13818.811,13818.047,13818.047,59,0,2026-05-29 19:00:00
2026-05-29 19:23:00,13818.026,13818.026,13817.288,13817.288,58,0,2026-05-29 19:00:00
2026-05-29 19:24:00,13817.263,13817.263,13816.457,13816.457,59,0,2026-05-29 19:00:00
2026-05-29 19:25:00,13816.446,13816.446,13815.627,13815.627,59,0,2026-05-29 19:00:00
2026-05-29 19:26:00,13815.626,13815.626,13814.842,13814.842,60,0,2026-05-29 19:00:00
2026-05-29 19:27:00,13814.827,13814.827,13814.053,13814.053,57,0,2026-05-29 19:00:00
2026-05-29 19:28:00,13814.039,13814.039,13813.396,13813.396,58,0,2026-05-29 19:00:00
2026-05-29 19:29:00,13813.378,13813.378,13812.541,13812.541,58,0,2026-05-29 19:00:00
2026-05-29 19:30:00,13812.527,13812.527,13811.696,13811.696,58,0,2026-05-29 19:00:00
2026-05-29 19:31:00,13811.679,13811.679,13810.816,13810.816,59,0,2026-05-29 19:00:00
2026-05-29 19:32:00,13810.8,13810.8,13809.882,13809.882,58,0,2026-05-29 19:00:00
2026-05-29 19:33:00,13809.868,13809.868,13809.113,13809.113,59,0,2026-05-29 19:00:00
2026-05-29 19:34:00,13809.106,13809.106,13808.282,13808.282,59,0,2026-05-29 19:00:00
2026-05-29 19:35:00,13808.262,13808.262,13807.466,13807.466,59,0,2026-05-29 19:00:00
2026-05-29 19:36:00,13807.46,13807.46,13806.619,13806.619,58,0,2026-05-29 19:00:00
2026-05-29 19:37:00,13806.611,13806.611,13805.741,13805.741,60,0,2026-05-29 19:00:00
2026-05-29 19:38:00,13805.716,13805.716,13804.929,13804.929,60,0,2026-05-29 19:00:00
2026-05-29 19:39:00,13804.926,13804.926,13804.298,13804.298,58,0,2026-05-29 19:00:00
2026-05-29 19:40:00,13804.295,13804.295,13803.544,13803.544,58,0,2026-05-29 19:00:00
2026-05-29 19:41:00,13803.521,13803.521,13802.733,13802.733,57,0,2026-05-29 19:00:00
2026-05-29 19:42:00,13802.726,13819.222,13802.256,13818.82,59,0,2026-05-29 19:00:00
2026-05-29 19:43:00,13818.808,13818.808,13817.977,13817.977,58,0,2026-05-29 19:00:00
2026-05-29 19:44:00,13817.949,13857.653,13817.304,13857.572,60,0,2026-05-29 19:00:00
2026-05-29 19:45:00,13857.559,13857.559,13856.631,13856.631,60,0,2026-05-29 19:00:00
2026-05-29 19:46:00,13856.606,13856.606,13855.787,13855.787,60,0,2026-05-29 19:00:00
2026-05-29 19:47:00,13855.774,13855.774,13855.113,13855.113,59,0,2026-05-29 19:00:00
2026-05-29 19:48:00,13855.091,13855.091,13854.262,13854.262,59,0,2026-05-29 19:00:00
2026-05-29 19:49:00,13854.234,13854.234,13853.379,13853.379,59,0,2026-05-29 19:00:00
2026-05-29 19:50:00,13853.373,13853.373,13852.543,13852.543,59,0,2026-05-29 19:00:00
2026-05-29 19:51:00,13852.509,13852.509,13851.538,13851.538,59,0,2026-05-29 19:00:00
2026-05-29 19:52:00,13851.534,13851.534,13850.669,13850.669,60,0,2026-05-29 19:00:00
2026-05-29 19:53:00,13850.656,13850.656,13849.708,13849.708,59,0,2026-05-29 19:00:00
2026-05-29 19:54:00,13849.708,13849.708,13848.919,13848.919,58,0,2026-05-29 19:00:00
2026-05-29 19:55:00,13848.903,13848.903,13848.08,13848.08,58,0,2026-05-29 19:00:00
2026-05-29 19:56:00,13848.08,13848.08,13847.388,13847.388,58,0,2026-05-29 19:00:00
2026-05-29 19:57:00,13847.38,13847.38,13846.454,13846.454,59,0,2026-05-29 19:00:00
2026-05-29 19:58:00,13846.425,13846.425,13845.67,13845.67,59,0,2026-05-29 19:00:00
2026-05-29 19:59:00,13845.656,13845.656,13844.83,13844.83,60,0,2026-05-29 19:00:00
2026-05-29 20:00:00,13844.797,13844.797,13844.01,13844.01,59,0,2026-05-29 19:00:00
2026-06-21 10:30:00,14438.588,14438.588,14437.619,14437.619,60,1,2026-06-21 11:00:00
2026-06-21 10:31:00,14437.587,14437.587,14436.774,14436.774,59,1,2026-06-21 11:00:00
2026-06-21 10:32:00,14436.748,14436.748,14435.943,14435.943,59,1,2026-06-21 11:00:00
2026-06-21 10:33:00,14435.937,14435.937,14435.05,14435.05,59,1,2026-06-21 11:00:00
2026-06-21 10:34:00,14435.034,14435.034,14434.027,14434.027,58,1,2026-06-21 11:00:00
2026-06-21 10:35:00,14434.008,14434.008,14433.068,14433.068,58,1,2026-06-21 11:00:00
2026-06-21 10:36:00,14433.052,14433.052,14432.237,14432.237,59,1,2026-06-21 11:00:00
2026-06-21 10:37:00,14432.228,14432.228,14431.316,14431.316,60,1,2026-06-21 11:00:00
2026-06-21 10:38:00,14431.299,14431.299,14430.45,14430.45,59,1,2026-06-21 11:00:00
2026-06-21 10:39:00,14430.435,14430.435,14429.638,14429.638,60,1,2026-06-21 11:00:00
2026-06-21 10:40:00,14429.605,14429.605,14428.718,14428.718,58,1,2026-06-21 11:00:00
2026-06-21 10:41:00,14428.694,14428.694,14427.781,14427.781,59,1,2026-06-21 11:00:00
2026-06-21 10:42:00,14427.767,14427.767,14426.872,14426.872,59,1,2026-06-21 11:00:00
2026-06-21 10:43:00,14426.859,14426.859,14426.143,14426.143,58,1,2026-06-21 11:00:00
2026-06-21 10:44:00,14426.14,14426.14,14425.322,14425.322,60,1,2026-06-21 11:00:00
2026-06-21 10:45:00,14425.308,14427.597,14425.177,14426.87,60,1,2026-06-21 11:00:00
