time,open,high,low,close,tick_volume
2026-05-04 17:00:00,14353.812,14384.057,14351.087,14354.074,3532
2026-05-04 18:00:00,14354.059,14388.076,14342.508,14367.486,3541
2026-05-04 19:00:00,14367.455,14367.455,14342.062,14345.984,3529
2026-05-04 20:00:00,14345.979,14345.979,14294.175,14294.175,3527
2026-05-04 21:00:00,14294.16,14294.16,14262.708,14262.708,3527
2026-05-04 22:00:00,14262.702,14275.504,14230.838,14230.838,3528
2026-05-04 23:00:00,14230.833,14237.612,14201.072,14202.555,3517
2026-05-05 00:00:00,14202.543,14217.788,14188.063,14188.063,3543
2026-05-05 01:00:00,14188.047,14195.739,14163.697,14184.928,3522
2026-05-05 02:00:00,14184.917,14210.513,14173.088,14196.756,3522
2026-05-05 03:00:00,14196.732,14230.047,14194.315,14194.315,3516
2026-05-05 04:00:00,14194.309,14194.309,14157.656,14157.656,3502
2026-05-05 05:00:00,14157.634,14164.253,14124.278,14126.429,3539
2026-05-05 06:00:00,14126.428,14187.959,14124.455,14185.852,3514
2026-05-05 07:00:00,14185.832,14195.483,14176.428,14179.092,3544
2026-05-05 08:00:00,14179.052,14205.352,14164.104,14196.486,3524
2026-05-05 09:00:00,14196.485,14263.245,14184.559,14246.306,3539
2026-05-05 10:00:00,14246.283,14288.958,14228.403,14276.097,3526
2026-05-05 11:00:00,14276.082,14299.078,14262.927,14277.515,3519
2026-05-05 12:00:00,14277.499,14290.719,14262.534,14277.071,3511
2026-05-05 13:00:00,14277.039,14282.098,14244.585,14263.162,3547
2026-05-05 14:00:00,14263.152,14326.722,14260.802,14310.895,3539
2026-05-05 15:00:00,14310.89,14333.595,14294.619,14321.183,3527
2026-05-05 16:00:00,14321.181,14321.181,14295.424,14295.424,3527
2026-05-05 17:00:00,14295.409,14300.8,14274.247,14291.833,3529
2026-05-05 18:00:00,14291.81,14305.786,14272.884,14278.946,3526
2026-05-05 19:00:00,14278.945,14299.072,14271.263,14272.874,3536
2026-05-05 20:00:00,14272.853,14298.003,14262.401,14279.792,3538
2026-05-05 21:00:00,14279.79,14306.62,14264.132,14286.463,3516
2026-05-05 22:00:00,14286.459,14334.869,14267.715,14334.647,3527
2026-05-05 23:00:00,14334.639,14334.639,14296.427,14296.427,3531
2026-05-06 00:00:00,14296.409,14296.409,14255.486,14255.486,3528
2026-05-06 01:00:00,14255.476,14329.436,14238.294,14323.182,3528
2026-05-06 02:00:00,14323.173,14331.699,14309.291,14327.901,3515
2026-05-06 03:00:00,14327.889,14357.401,14292.697,14352.07,3540
2026-05-06 04:00:00,14352.019,14352.019,14323.186,14334.342,3529
2026-05-06 05:00:00,14334.327,14334.327,14303.888,14303.888,3539
2026-05-06 06:00:00,14303.865,14303.865,14271.74,14271.74,3530
2026-05-06 07:00:00,14271.736,14287.842,14251.651,14284.71,3516
2026-05-06 08:00:00,14284.699,14309.652,14272.654,14272.654,3518
2026-05-06 09:00:00,14272.643,14274.421,14254.687,14254.687,3530
2026-05-06 10:00:00,14254.671,14275.84,14230.113,14257.149,3519
2026-05-06 11:00:00,14257.112,14285.405,14233.41,14269.322,3525
2026-05-06 12:00:00,14269.317,14269.317,14245.361,14245.361,3539
2026-05-06 13:00:00,14245.353,14317.086,14239.775,14294.212,3507
2026-05-06 14:00:00,14294.207,14302.281,14273.926,14273.926,3530
2026-05-06 15:00:00,14273.92,14279.598,14253.305,14253.305,3527
2026-05-06 16:00:00,14253.301,14255.267,14225.97,14225.97,3525
2026-05-06 17:00:00,14225.965,14239.966,14193.823,14193.823,3541
2026-05-06 18:00:00,14193.808,14193.808,14145.381,14145.381,3528
2026-05-06 19:00:00,14145.366,14149.474,14127.826,14127.826,3535
2026-05-06 20:00:00,14127.796,14170.038,14122.425,14160.346,3538
2026-05-06 21:00:00,14160.319,14160.319,14123.536,14139.552,3519
2026-05-06 22:00:00,14139.522,14151.099,14102.669,14138.533,3529
2026-05-06 23:00:00,14138.521,14138.521,14093.283,14093.283,3523
2026-05-07 00:00:00,14093.281,14188.388,14072.877,14186.649,3539
2026-05-07 01:00:00,14186.646,14186.646,14136.578,14136.578,3521
2026-05-07 02:00:00,14136.553,14188.725,14123.048,14174.921,3536
2026-05-07 03:00:00,14174.914,14175.479,14140.902,14160.39,3524
2026-05-07 04:00:00,14160.372,14199.691,14152.642,14192.437,3524
2026-05-07 05:00:00,14192.427,14192.427,14157.451,14157.451,3528
2026-05-07 06:00:00,14157.448,14157.448,14124.524,14127.338,3524
